"Website URL","Is Scam Website","Scam Type","Website Content Notes"
"https://epay-com.tw-lvjie.cyou/goods.php?id=58","Yes","Phishing Website","Listed by TWNIC as a suspected impersonation/phishing website (2026-06-09). Page title: ""綠界科技"". Verified on 2026-06-14: HTTP 200, page loaded successfully, and detected 1 form(s), 15 input field(s), 2 button(s). No data was submitted."
"https://uedksf.shop/7e05295a","Yes","Phishing Website","Listed by TWNIC as a suspected impersonation/phishing website (2026-05-04). Page title: ""💫🎁【安美諾春日煥白季 寵愛自己】下單即贈品牌好禮（不定期更換）每一次收貨，都是被寵愛的驚喜～🌸 保養、抗老、美白、保濕一次到位就讓安美諾替你撐起最溫柔的"". Verified on 2026-06-14: HTTP 200, page loaded successfully, and detected 1 form(s), 32 input field(s), 1 button(s). No data was submitted."
"https://wewoske.online/amiinoFyQtp","Yes","Phishing Website","Listed by TWNIC as a suspected impersonation/phishing website (2026-05-04). Page title: ""【史上最強檔 買一送一 安美諾專為媽祖遶境特別限訂 】媽祖守平安，安美諾守護你的發光肌✨長時間步行 × 強烈日曬🏃 肌膚防護一定要到位！安美諾美白修復霜 ✔️"". Verified on 2026-06-14: HTTP 200, page loaded successfully, and detected 1 form(s), 31 input field(s), 6 button(s). No data was submitted."
"https://weseodf.shop/amiinoFyQtp","Yes","Phishing Website","Listed by TWNIC as a suspected impersonation/phishing website (2026-05-04). Page title: ""【史上最強檔 買一送一 安美諾專為媽祖遶境特別限訂 】媽祖守平安，安美諾守護你的發光肌✨長時間步行 × 強烈日曬🏃 肌膚防護一定要到位！安美諾美白修復霜 ✔️"". Verified on 2026-06-14: HTTP 200, page loaded successfully, and detected 1 form(s), 31 input field(s), 6 button(s). No data was submitted."
"https://lzhvmm.site/3CFcq4-32","Yes","Phishing Website","Listed by TWNIC as a suspected impersonation/phishing website (2026-05-04). Page title: ""【安美諾美白修護霜 5週有效】熱銷TOP美白修護霜 限時夏季補貼下殺56折 專家名人大推↘經實證5週，減少皺紋、斑點、毛孔、紋理 限時買一送一，兩罐僅需NT$-"". Verified on 2026-06-14: HTTP 200, page loaded successfully, and detected 2 form(s), 48 input field(s). No data was submitted."
"https://0001.goodplay.asia","Yes","Phishing Website","Listed on the NPA DNS suspension list; source category: Lottery/Gambling (2026-04). Page title: ""鑫浩盛 | 首頁 - Index"". Verified on 2026-06-14: HTTP 200, page loaded successfully, and detected 1 password field(s), 1 form(s), 7 input field(s), 1 button(s). No data was submitted."
"https://exploretworld.com","Yes","Phishing Website","Listed on the NPA DNS suspension list; source category: Cryptocurrency (2026-05). Page title: ""職場網"". Verified on 2026-06-14: HTTP 200, page loaded successfully, and detected 1 password field(s), 2 form(s), 15 input field(s), 16 button(s). No data was submitted."
"https://www.investingclever.com","Yes","Phishing Website","Listed on the NPA DNS suspension list; source category: Financial Services/Insurance (2026-05). Page title: ""InvestingClever — 港美台股智慧分析"". Verified on 2026-06-14: HTTP 200, page loaded successfully, and detected 5 password field(s), 1 form(s), 18 input field(s), 22 button(s). No data was submitted."
"https://kunlunwanwei.xyz","Yes","Phishing Website","Listed on the NPA DNS suspension list; source category: Financial Services/Insurance (2026-05). Page title: ""&#x767B;&#x5165;"". Verified on 2026-06-14: HTTP 200, page loaded successfully, and detected 1 password field(s), 1 form(s), 3 input field(s), 1 button(s). No data was submitted."
"https://dashboard.zenitfunding.com","Yes","Phishing Website","Listed on the NPA DNS suspension list; source category: Financial Services/Insurance (2026-04). Page title: ""Log in - Zenit Funding"". Verified on 2026-06-14: HTTP 200, page loaded successfully, and detected 1 password field(s), 1 form(s), 5 input field(s), 1 button(s). No data was submitted."
"https://greattreego.com","Yes","Phishing Website","Listed on the NPA DNS suspension list; source category: 醫療保健 (2026-05). Page title: ""藥健康大樹藥局官方店 | 台灣最大男性保健品專賣 | 威而鋼、犀利士、必利勁"". Verified on 2026-06-14: HTTP 200, page loaded successfully, and detected 1 password field(s), 2 form(s), 7 input field(s), 3 button(s). No data was submitted."
"https://poyabyuys.com","Yes","Phishing Website","Listed on the NPA DNS suspension list; source category: E-commerce (2026-04). Page title: ""商城系统登录"". Verified on 2026-06-14: HTTP 200, page loaded successfully, and detected 1 password field(s), 1 form(s), 2 input field(s), 1 button(s). No data was submitted."
"https://www.fbxgysou.com","Yes","Phishing Website","Listed on the NPA DNS suspension list; source category: Financial Services/Insurance (2026-05). Page title: ""FBX"". Verified on 2026-06-14: HTTP 200, page loaded successfully, and detected 1 password field(s), 1 form(s), 4 input field(s). No data was submitted."
"http://keeploocit.com","Yes","Phishing Website","Listed on the NPA DNS suspension list; source category: Financial Services/Insurance (2026-05). Page title: ""keeploocit"". Verified on 2026-06-14: HTTP 200, page loaded successfully, and detected 3 password field(s), 1 form(s), 12 input field(s). No data was submitted."
"https://bgl-dep.com","Yes","Phishing Website","Listed on the NPA DNS suspension list; source category: Financial Services/Insurance (2026-05). Page title: ""BVLGARI 寶格麗香水-台灣專櫃香水"". Verified on 2026-06-14: HTTP 200, page loaded successfully, and detected 2 form(s), 6 input field(s), 11 button(s). No data was submitted."
"https://aly358.xyz","Yes","Phishing Website","Listed on the NPA DNS suspension list; source category: Financial Services/Insurance (2026-05). Page title: ""社會福利回饋協會"". Verified on 2026-06-14: HTTP 200, page loaded successfully, and detected 2 form(s), 8 input field(s), 2 button(s). No data was submitted."
"https://ioveyuelove.com","Yes","Phishing Website","Listed on the NPA DNS suspension list; source category: Financial Services/Insurance (2026-05). Page title: ""ioveyuelove"". Verified on 2026-06-14: HTTP 200, page loaded successfully, and detected 3 password field(s), 1 form(s), 12 input field(s). No data was submitted."
"https://supreme-shop.net","Yes","Phishing Website","Listed on the NPA DNS suspension list; source category: Financial Services/Insurance (2026-05). Page title: ""Supreme官網_Supreme 台灣專櫃-Supreme海外代購 2026新款"". Verified on 2026-06-14: HTTP 200, page loaded successfully, and detected 2 form(s), 6 input field(s), 5 button(s). No data was submitted."
"https://bluep.shop","Yes","Phishing Website","Listed on the NPA DNS suspension list; source category: Financial Services/Insurance (2026-05). Page title: ""FB Ads Pro - Professional Facebook Advertising Services"". Verified on 2026-06-14: HTTP 200, page loaded successfully, and detected 1 form(s), 4 input field(s), 1 button(s). No data was submitted."
"https://www.kunlunwanwei.org","Yes","Phishing Website","Listed on the NPA DNS suspension list; source category: Lottery/Gambling (2026-05). Page title: ""&#x767B;&#x5165;"". Verified on 2026-06-14: HTTP 200, page loaded successfully, and detected 1 password field(s), 1 form(s), 3 input field(s), 1 button(s). No data was submitted."
"http://jinsha889.com","Yes","Phishing Website","Listed on the NPA DNS suspension list; source category: Lottery/Gambling (2026-04). Page title: ""新加坡金沙娛樂"". Verified on 2026-06-14: HTTP 200, page loaded successfully, and detected 1 password field(s), 1 form(s), 2 input field(s), 3 button(s). No data was submitted."
"https://microns.pro","Yes","Phishing Website","Listed on the NPA DNS suspension list; source category: Financial Services/Insurance (2026-05). Page title: ""Micron Technology | 半導體全球領導者 | Micron Technology Inc."". Verified on 2026-06-14: HTTP 200, page loaded successfully, and detected 3 form(s), 6 input field(s), 29 button(s). No data was submitted."
"https://onrunningtw.com","Yes","Phishing Website","Listed on the NPA DNS suspension list; source category: Financial Services/Insurance (2026-05). Page title: ""On 鞋 | On Running昂跑台灣官網"". Verified on 2026-06-14: HTTP 200, page loaded successfully, and detected 3 form(s), 3 input field(s), 6 button(s). No data was submitted."
"https://aly386.xyz","Yes","Phishing Website","Listed on the NPA DNS suspension list; source category: Financial Services/Insurance (2026-05). Page title: ""内政警署送新年福利低價售iPhone17"". Verified on 2026-06-14: HTTP 200, page loaded successfully, and detected 1 form(s), 46 input field(s). No data was submitted."
"https://singapore-arrivalcard.visasyst.com","Yes","Phishing Website","Listed on the NPA DNS suspension list; source category: Financial Services/Insurance (2026-05). Page title: ""SG Arrival Card | singapore-arrivalcard.visasyst.com"". Verified on 2026-06-14: HTTP 200, page loaded successfully, and detected 1 form(s), 2 input field(s), 1 button(s). No data was submitted."
"https://mayshpv-7ll-tw.shop","Yes","Phishing Website","Listed on the NPA DNS suspension list; source category: 運輸倉儲 (2026-05). Page title: ""賣貨便"". Verified on 2026-06-14: HTTP 200, page loaded successfully, and detected 4 form(s), 23 input field(s), 15 button(s). No data was submitted."
"https://cslbehringtw.com","Yes","Phishing Website","Listed on the NPA DNS suspension list; source category: Financial Services/Insurance (2026-04). Page title: ""VEO GROK Rental Dashboard"". Verified on 2026-06-14: HTTP 200, page loaded successfully, and detected 1 password field(s), 9 input field(s), 11 button(s). No data was submitted."
"https://albb.8612573.com","Yes","Phishing Website","Listed on the NPA DNS suspension list; source category: E-commerce (2026-05). Page title: ""阿里巴巴优惠券"". Verified on 2026-06-14: HTTP 200, page loaded successfully, and detected 1 form(s), 6 input field(s). No data was submitted."
"https://tienmai.com","Yes","Fake Shopping Website","Listed on the NPA DNS suspension list; source category: Financial Services/Insurance (2026-05). Page title: ""skychakra"". Verified on 2026-06-14: HTTP 200, page loaded successfully, and detected 1 form(s), 2 input field(s), 12 button(s). No data was submitted."
"https://xingxingmeiz.icu","Yes","Fake Shopping Website","Listed on the NPA DNS suspension list; source category: Financial Services/Insurance (2026-05). Page title: ""Akmall"". Verified on 2026-06-14: HTTP 200, page loaded successfully, and detected 2 form(s), 8 input field(s), 2 button(s). No data was submitted."
"https://wmfeng.club","Yes","Fake Shopping Website","Listed on the NPA DNS suspension list; source category: Financial Services/Insurance (2026-05). Page title: ""kuaixing"". Verified on 2026-06-14: HTTP 200, page loaded successfully, and detected 2 form(s), 2 input field(s), 2 button(s). No data was submitted."
"https://gndmsqk.monster","Yes","Fake Shopping Website","Listed on the NPA DNS suspension list; source category: Financial Services/Insurance (2026-05). Page title: ""kuaixing"". Verified on 2026-06-14: HTTP 200, page loaded successfully, and detected 2 form(s), 2 input field(s), 2 button(s). No data was submitted."
"https://zoomtj.shop","Yes","Fake Shopping Website","Listed on the NPA DNS suspension list; source category: Financial Services/Insurance (2026-05). Page title: ""泌尿科醫學會"". Verified on 2026-06-14: HTTP 200, page loaded successfully, and detected 2 form(s), 8 input field(s), 2 button(s). No data was submitted."
"https://zoomnkfhq.shop","Yes","Fake Shopping Website","Listed on the NPA DNS suspension list; source category: Financial Services/Insurance (2026-05). Page title: ""泌尿科醫學會"". Verified on 2026-06-14: HTTP 200, page loaded successfully, and detected 2 form(s), 8 input field(s), 2 button(s). No data was submitted."
"https://zoolnkfch.shop","Yes","Fake Shopping Website","Listed on the NPA DNS suspension list; source category: Financial Services/Insurance (2026-05). Page title: ""泌尿科醫學會"". Verified on 2026-06-14: HTTP 200, page loaded successfully, and detected 2 form(s), 8 input field(s), 2 button(s). No data was submitted."
"https://maggie-tw.shop","Yes","Fake Shopping Website","Listed on the NPA DNS suspension list; source category: Financial Services/Insurance (2026-05). Page title: ""好購商城"". Verified on 2026-06-14: HTTP 200, page loaded successfully, and detected 1 form(s), 4 input field(s), 2 button(s). No data was submitted."
"https://twhealth.shop","Yes","Fake Shopping Website","Listed on the NPA DNS suspension list; source category: Financial Services/Insurance (2026-05). Page title: ""唯一官方網站，正品無憂，無效承諾三倍退款"". Verified on 2026-06-14: HTTP 200, page loaded successfully, and detected 2 form(s), 8 input field(s), 2 button(s). No data was submitted."
"https://save-bucks.shop","Yes","Fake Shopping Website","Listed on the NPA DNS suspension list; source category: Financial Services/Insurance (2026-04). Page title: ""好購商城"". Verified on 2026-06-14: HTTP 200, page loaded successfully, and detected 1 form(s), 4 input field(s), 2 button(s). No data was submitted."
"https://vitanetlink.com","Yes","Investment/Financial Scam","Listed on the NPA DNS suspension list; source category: Financial Services/Insurance (2026-05). Page title: ""田新股份有限公司｜科技跨域 × 長壽經濟的創新企業｜智慧照護・AOI檢測・健康科技"". Verified on 2026-06-14: HTTP 200, page loaded successfully, and detected 1 form(s), 7 input field(s), 3 button(s). No data was submitted."
"https://xttw1028.tt23.life.cdn.cloudflare.net","Yes","Investment/Financial Scam","Listed on the NPA DNS suspension list; source category: Financial Services/Insurance (2026-05). Page title: ""XT"". Verified on 2026-06-14: HTTP 200, page loaded successfully, and detected 2 form(s), 2 input field(s), 2 button(s). No data was submitted."
"https://layib.store","Yes","Fake Shopping Website","Listed on the NPA DNS suspension list; source category: E-commerce (2026-05). Page title: ""layib.store"". Verified on 2026-06-14: HTTP 200, page loaded successfully, and detected 1 form(s), 5 input field(s). No data was submitted."
"https://uyuya.store","Yes","Fake Shopping Website","Listed on the NPA DNS suspension list; source category: E-commerce (2026-05). Page title: ""uyuya.store"". Verified on 2026-06-14: HTTP 200, page loaded successfully, and detected 1 form(s), 5 input field(s). No data was submitted."
"https://visago360.com","Yes","Investment/Financial Scam","Listed on the NPA DNS suspension list; source category: Financial Services/Insurance (2026-05). Page title: ""VisaGo 360 - Your Visa, Simplified"". Verified on 2026-06-14: HTTP 200, page loaded successfully, and detected 1 form(s), 6 input field(s), 259 button(s). No data was submitted."
"https://twfanzha.com","Yes","Investment/Financial Scam","Listed on the NPA DNS suspension list; source category: Financial Services/Insurance (2026-05). Page title: ""TW反詐 - 民眾通報假投資(博弈)詐騙網站"". Verified on 2026-06-14: HTTP 200, page loaded successfully, and detected 1 form(s), 2 input field(s), 2 button(s). No data was submitted."
"https://gangli-kaimai.com","Yes","Fake Shopping Website","Listed on the NPA DNS suspension list; source category: E-commerce (2026-05). Page title: ""剛力 凱脈 | 官方網站首頁 2026"". Verified on 2026-06-14: HTTP 200, page loaded successfully, and detected 1 form(s), 8 input field(s), 3 button(s). No data was submitted."
"https://xt187612.tt23.life.cdn.cloudflare.net","Yes","Investment/Financial Scam","Listed on the NPA DNS suspension list; source category: Financial Services/Insurance (2026-04). Page title: ""XT"". Verified on 2026-06-14: HTTP 200, page loaded successfully, and detected 2 form(s), 2 input field(s), 2 button(s). No data was submitted."
"https://tw-giveaway-76.com","Yes","Fake Shopping Website","Listed on the NPA DNS suspension list; source category: Financial Services/Insurance (2026-04). Page title: ""TW Giveaway"". Verified on 2026-06-14: HTTP 200, page loaded successfully, and detected 1 form(s), 39 input field(s). No data was submitted."
"https://opmbuencast.mx","Yes","Investment/Financial Scam","Listed on the NPA DNS suspension list; source category: Financial Services/Insurance (2026-04). Page title: ""Hello world! &#8211; My Blog"". Verified on 2026-06-14: HTTP 200, page loaded successfully, and detected 3 form(s), 11 input field(s), 5 button(s). No data was submitted."
"https://gooddaymall.shop","Yes","Fake Shopping Website","Listed on the NPA DNS suspension list; source category: E-commerce (2026-05). Page title: ""晴日購"". Verified on 2026-06-14: HTTP 200, page loaded successfully, and detected 2 form(s), 8 input field(s), 2 button(s). No data was submitted."
"https://yis.homet.shop","Yes","Fake Shopping Website","Listed on the NPA DNS suspension list; source category: E-commerce (2026-05). Page title: ""42 種高人氣多肉植物介紹與照顧方式 | 有肉 SUCCULAND"". Verified on 2026-06-14: HTTP 200, page loaded successfully, and detected 3 form(s), 3 input field(s), 3 button(s). No data was submitted."
"https://www.samsung.com/","No","Not a Scam","Official e-commerce transaction website operated by Samsung. Its legitimate workflow requests Checkout recipient, address, and payment card data. Page title: ""Samsung 台灣 | 智慧手機 | 電視 | 冰箱 洗衣機 吸塵器 空氣清淨機 微波爐"". Verified on 2026-06-14: HTTP 200, page loaded successfully, and detected 7 form(s), 108 input field(s), 61 button(s), 1 select field(s). No data was submitted."
"https://account.battle.net/login/","No","Not a Scam","Official gaming account website operated by Battle.net. Its legitimate workflow requests Gaming account email or phone and password. Page title: ""Battle.net 계정 로그인"". Verified on 2026-06-14: HTTP 200, page loaded successfully, and detected 8 form(s), 67 input field(s), 9 button(s). No data was submitted."
